title,content_img,content_text,choices_1,choices_2,choices_3,choices_4,answer
다음의 예에서 결괏값이 다른 하나는?,https://cbt.youngjin.com/upload/sqld/133.png,,SELECT NULL*2 FROM SQLD_13;,SELECT NULL*3 FROM SQLD_13;,SELECT NULL * NULL FROM SQLD_13;,SELECT count(고객) FROM SQLD_13 WHERE 거래내역 IS NULL;,정답 : 다른 것은 모두 NULL을 반환하는데거래내역이 NULL인 고객의 수를 구해서 2를 반환한다.
"학생(STUDENT) 테이블에 영문학과 학생 50명, 법학과 학생 100명, 수학과 학생 50명의 정보가 저장되어 있을 때, 다음 SQL문의 실행 결과 튜플 수는 각각 얼마인가? (단, DEPT필드는 학과명, NAME필드는 이름을 의미한다)",,,"ㄱ : 3, ㄴ : 3, ㄷ : 1","ㄱ : 200, ㄴ : 3, ㄷ : 1","ㄱ : 200, ㄴ : 3, ㄷ : 50","ㄱ : 200, ㄴ : 200, ㄷ : 50","정답 : ㄱ은 STUDENT 테이블을 조건없이 조회하는 것이므로 200=50+100+50이 된다. 그리고 ㄴ은 “DISTINCT”를 사용했으므로 학과명이 중복되면 한 번만 출력한다. 문제에서는 영문학과, 법학과, 수학과가 있으므로 3이 되고 ㄷ은 WHERE절에 “영문학과”만 조회하므로 50이 된다."
"{학번, 과목번호}는 결정자이면서 기본키이고 {성적, 지도교수명, 학과명}은 종속자이다. 속성 중 과목번호가 결정자이고 {지도교수명, 학과명}이 과목번호에만 함수적 종속성을 가진다면 이는 몇 차정규형에 속하고 몇 차정 규화의 대상인가?",https://cbt.youngjin.com/upload/sqld/19.png,,2차정규형 - 3차정규화 대상,1차정규형 - 2차정규화 대상,3차정규형 - 보이스-코드 정규화 대상,보이스-코드 정규화 - 4차정규화 대상,정답 : 결정자 중 일부 속성에만 함수 종속성을 가지고 있는 ‘Partial Dependency Attribute’를 갖는 것은 2차정규형을 위반한 사례에 해당한다. 즉 1차정규형이면서 2차정규화의 대상이 된다.
발생 시점에 따른 엔터티 분류에 의한 중심 엔터티가 아닌 것은?,,, 매출, 주문, 사원, 계약,"정답 : 사원, 부서, 고객, 상품, 자재 등이 기본 엔터티가 될 수 있다."
다음 주어진 테이블에 대해서 아래와 같은 결과값이 반환되도록 아래 SQL문의 빈칸에 들어갈 것을 고르시오.,https://cbt.youngjin.com/upload/sqld/72.png,," max(COL2), min(COL2), sum(COL1)"," max(COL1), min(COL2), sum(COL2)"," max(COL1), min(COL2), sum(COL1)"," min(COL1), max(COL2), max(COL1)","정답 : A 속성은 COL1의 최댓값, B 속성은 COL2의 최솟값, C 속성은 COL1 속성의 합이다."
다음의 설명으로 올바른 것은?,,, Hash Join, Inner Join, Nested Loop Join, Sort Merge,정답 : Sort Merge 조인(Join)은 테이블을 정렬(Sort)한 후에 정렬된 테이블을 병합(Merge)하면서 조인을 실행한다.
"부서와 사원 테이블을 생성하는 SQL 문장을 수행한 후 튜플 삽입으로 두 테이블의 상태가 다음과 같을 때, 테이블 연산 수행에 대한 설명으로 올바르지 않은 것은?",https://cbt.youngjin.com/upload/sqld/132.png,," 부서 테이블에서 (2, ‘영업부’) 튜플을 삭제한다면 참조 무결성 제약조건을 위배한다."," 사원 테이블에 (13, ‘강감찬’, ‘A1’) 튜플을 삽입한다면 도메인 무결성 제약조건을 위배한다."," 사원 테이블에 (14, ‘김유신’, 0) 튜플을 삽입한다면 참조 무결성 제약조건을 위배한다."," 부서 테이블에 (1, ‘연구부’) 튜플을 삽입한다면 참조 무결성 제약조건을 위배한다.","정답 : 부서 테이블은 마스터 테이블이므로 사원 테이블에 없는 부서번호 등을 자유롭게 입력할 수 있다. 따라서 부서 테이블에 (1, ‘연구부’)을 입력하는 것은 참조 무결성 위배가 아니다."
엔터티에 대한 개념 중 엔터티 정의의 공통점 3가지가 아닌 것은?,,, 데이터베이스 내에서 변별 가능한 객체이다.," 엔터티는 사람, 장소, 물건, 사건, 개념 등의 명사에 해당된다.", 저장되기 위한 어떤 것(Thing)이다., 업무상 관리가 필요한 관심사에 해당된다.,"정답 : 엔터티(Entity)의 3가지 공통점은 다음과 같다.•개념, 사건, 사람, 장소 등과 같이 명사이다.•비즈니스 프로세스에서 관리되어야 하는 정보이다.•저장이 필요한 어떤 것이다."
다음 중 해시 조인(Hash Join)에 대한 설명으로 올바르지 않은 것은?,,, 해시 조인은 해시 함수를 사용해서 주소를 계산하고 조인을 수행한다., 해시 조인을 할 때는 선행 테이블의 크기가 작아야 한다., 해시 조인은 CPU 연산이 많이 발생한다., 해시 조인은 랜덤 액세스(Random Access)로 인하여 부하가 발생한다.,"정답 : 해시 조인은 해시 함수를 사용하므로 CPU를 많이 사용하지만, 랜덤 액세스는 발생하지 않는다. 랜덤 액세스는 Nested Loop 조인이 발생한다."
.ANSI/ISO 표준 SQL에서 두 테이블 간에 동일한 칼럼 이름을 가지는 것을 모두 출력하는 조인 방식은 무엇인가?,,, Inner Join, Cross Join, Natural Join, Using,정답 : NATURAL JOIN은 두 테이블 간에 동일한 칼럼 이름을 가진 것을 모두 출력하는 조인 방법이다.
.Subquery의 종류 중에서 Subquery가 Mainquery의 제공자 역할을 하고 Mainquery의 값이 Subquery에 주입되지 않는 유형은 무엇인가?,,, ① Filter형 Subquery, Early Filter형 Subquery, Associative Subquery, Access Subquery,정답 : Access Subquery는 제공자 역할을 하는 서브쿼리이다.
.다음 SQL문의 실행 결과는 무엇인가?,,, 1, 2, 3, NULL,"정답 : COALESCE 함수는 NULL이 아닌 첫 번째 값을 리턴하는 함수이다. 즉, 위의 문제에서 첫 번째는 NULL이고 두 번째는 ‘2’이다. 따라서 ‘2’가 리턴된다."
.다음은 Order by에 대한 설명이다. 올바르지 않은 것은?,,, 기본적으로 정렬순서는 오름차순으로 정렬되지만 DESC를 사용하면 내림차순으로 정렬한다., 오름차순으로 숫자형 데이터 타입을 정렬하면 가장 작은 값부터 출력된다., SQL Server에서 오름차순으로 정렬하면 NULL 값이 가장 먼저 나온다., 날짜형 데이터 타입을 오름차순으로 정렬하면 날짜 값이 가장 늦은 날짜가 먼저 출력된다.,정답 : 날짜형 데이터를 오름차순으로 출력하며 다음과 같다. 날짜형 데이터를 출력하기 위해서 sysdate를 사용하고 어제 날짜를 구하기 위해서 sysdate-1을 한다. 이것을 Union all로 합집합을 만든 다음에 Order by로 정렬을 한다.
.다음 중 옳지 않은 것은?,,, Length(‘YOUNGJIN’) = 9, CASE 문은 If - Then - Else를 구현 할 수 있다., (날짜1 - 날짜2)의 결과는 일수가 나온다., COUNT(표현식)은 표현식의 값이 NULL 값인 것을 제외한 행 수를 출력한다.,정답 : 9가 아닌 8이다.
.다음 개념에 해당하는 관계는 무엇인가?,,, 식별자 관계(Identifying Relationship), 비식별자 관계(Non-Identifying Relationship), 일반 속성 관계(Attribute Relationship), 외부 식별 관계(Foreign Key Relationship),정답 : 부모 엔터티로부터 속성을 받았지만 자식 엔터티의 주식별자로 사용하지 않고 일반적인 속성으로만 사용하는 것은 비식별자 관계(Non-Identifying Relationship)에 대한 설명이다.
.데이터 모델링에 대한 설명 중 알맞은 것은?,,," 데이터 모델링의 3가지 요소는 Process, Attributes, Relationships이다.", 실제로 데이터베이스를 구축할 때 참고되는 모델은 개념적 데이터 모델링이다., 물리 모델링 → 논리 모델링 → 개념 모델링 단계로 갈수록 구체적이다., 논리 모델링의 외래키는 물리 모델에서 반드시 구현되지는 않는다.,"정답 : ① 데이터 모델링의 3요소는 Things, Attributes, Relationships이다.② 실제 데이터베이스 구축 시 참고되는 모델은 물리적 데이터 모델링이다.③ 개념 모델링에서 물리 모델링으로 가면서 더 구체적이며 개념 모델링이 가장 추상적이다.④ 논리 모델링의 외래키는 물리 모델에서 반드시 구현되지 않는 선택 사항이다."
.분산 데이터베이스의 특징 중 저장 장소 명시가 불필요하다는 특성은 무엇인가?,,, 지역 사상 투명성, 위치 투명성, 병행 투명성, 분할 투명성,정답 : • 위치 투명성이란 사용하려는 데이터의 저장 장소 명시가 불필요하며 위치 정보가 System Catalog에 유지되어야 함을 말한다.• 지역 사상 투명성이란 지역 DBMS와 물리적 DB 사이의 Mapping을 보장한다. 각 지역 시스템 이름과 무관한 이름 사용이 가능하다.
".EMP 테이블 7788번 사원의 SAL 값이 현재 1,000인 상황에서 아래 TX1, TX2 두 개의 트랜잭션이 동시에 수행되었다. 양쪽 트랜잭션이 모두 완료된 시점에 7788번 사원의 SAL 값은?",https://cbt.youngjin.com/upload/sqld/146.png,, 1000, 1100, 1200, 1300,"정답 : TX2의 update 문은 베타적 Lock 때문에 대기했다가 TX1 트랜잭션이 commit 한 후에 처리를 계속한다. TX1에 의해 1,100으로 바뀐 값을 읽어 200을 더하므로 최종 결과는 1,300이 된다."
.다음 중 인덱스를 사용할 수 없는 조건에 해당되지 않는 것은?,,," 인덱스가 사용되는 칼럼에 NVL(Key, 0)을 사용했다."," 인덱스가 사용되는 칼럼에 to_char(vin tagedate, ‘yyyymmdd’) = sysdate를 사용했다."," 인덱스가 사용되는 칼럼에 vintageyear = to_char(sysdate, ‘yyyy’)를 사용했다.", 인덱스가 사용되는 칼럼에 name||‘ ’ = ‘lim’을 사용했다.,정답 :
.서브쿼리에 대한 설명으로 올바르지 않은 것은?,,, 서브쿼리는 괄호를 사용해서 SELECT문을 감싸서 사용하는 것이다., 서브쿼리는 비교 연산자와 함께 사용이 가능하다., 메인쿼리는 서브쿼리의 칼럼을 쓸 수 없다.," 서브쿼리는 SELECT절, FROM절, WHERE절 등에서 사용이 가능하다.",정답 : 서브쿼리의 한 종류인 인라인뷰(Inline view)의 칼럼을 메인 쿼리에서 사용이 가능하다.
".서브쿼리의 종류 중에 서브쿼리를 실행하고 한 행, 한 칼럼을 반환하는 서브쿼리를 무엇이라고 하는가?",,, Looping, Scala Subquery, Associative Subquery, Access Subquery,정답 : 스칼라 서브쿼리(Scala Subquery)는 SELECT문에서 사용하는 서브쿼리로 한 행만 반환한다.
".다음은 윈도우 함수에 대한 설명이다. 현재 행을 기준으로 파티션 내에서 앞의 한 건, 현재행, 뒤의 한 건을 범위를 지정하는 Over의 옵션은?",,, ROWS BETWEEN 1 PRECEDING AND 1 FOLLOWING, RANGE UNBOUNDED PRECEDING, ROWS BETWEEN CURRENT ROW AND UNBOUNDED FOLLOWING, ROWS BETWEEN 1 AND 2,정답 :
.SQL 문장에서 집합별로 집계된 데이터에 대한 조회 조건을 제한하기 위해서 사용하는 절은 어느 것인가?,,, HAVING절, GROUP BY절, WHERE절, FROM절,정답 : 일반적인 SQL 문장에서 조회하는 데이터를 제한하기 위해서는 WHERE절을 사용하지만 그룹별로 조회할 때 집계 데이터에 대한 제한 조건을 사용하기 위해서는 HAVING절을 사용한다.
.다음 서브쿼리에 대한 설명 중 틀린 것을 고르시오.,,, 상호연관 서브쿼리는 처리 속도가 가장 빠르기 때문에 최대한 활용하는 것이 좋다., TOP-N 서브쿼리는 INLINE VIEW의 정렬된 데이터를 ROWNUM을 이용해 결과 행 수를 제한하거나 TOP (N) 조건을 사용하는 서브쿼리이다.," INLINE VIEW는 FROM절에 사용되는 서브쿼리로서 실질적인 OBJECT는 아니지만, SQL 문장에서 마치 VIEW나 테이블처럼 사용되는 서브쿼리이다."," 다중행 연산자는 IN, ANY, ALL이 있으며 서브쿼리의 결과로 하나 이상의 데이터가 RETURN되는 서브쿼리이다.",정답 : 상호 연관 서브쿼리는 서브쿼리가 메인쿼리의 행 수 만큼 실행되는 쿼리로서 실행 속도가 상대적으로 떨어지는 SQL 문장이다. 그러나 복잡한 일반 배치 프로그램을 대체할 수 있기 때문에 조건에 맞는다면 적극적인 검토가 필요하다.
.어떠한 데이터 타입도 사용이 가능한 집계 함수는 어느 것인가?,,, AVG, SUM, COUNT, STDDEV,"정답 : 집계 함수는 집합에 대한 정보를 제공하므로 주로 숫자 유형에 사용된다. 추가로 MAX, MIN, COUNT 함수는 숫자 유형만 아니라 문자 유형, 날짜 유형에도 적용이 가능한 함수이다."
.다음 중에서 집합 연산자의 종류에 해당되지 않은 것을 고르시오.,,, Union all, Union, Project, Except,정답 : 집합 연산자(SET OPERATOR)는 두 개 이상의 테이블에서 조인을 하지 않고 관련된 데이터를 조회한다.
.다음 설명 중 올바르지 않은 것은?,,, SQL Server는 null 값을 인덱스 맨 뒤에 저장한다., Oracle에서 인덱스 구성 칼럼 중 하나라도 null이 아닌 레코드는 인덱스에 저장한다., SQL Server는 인덱스 구성 칼럼이 모두 null인 레코드도 인덱스에 저장한다., Oracle에서 인덱스 구성 칼럼이 모두 null인 레코드는 인덱스에 저장하지 않는다.,"정답 : SQL Server는 null 값을 인덱스 맨 앞에 저장하고, Oracle은 맨 뒤에 저장한다."
.다음의 SQL문에 대한 설명으로 올바르지 않은 것은?,,, SELECT문에 WHERE 조건이 없으므로 연산에 참여하는 총 행 수는 5개이다., DEPTNO 10의 합계는 3000이고 20의 합계는 500이다.," NVL(SAL, 0)문에서 NVL은 NULL에 대한 합계오류를 예방한다.", 부서별 합계를 계산할 때 NULL값을 만나면 0으로 치환한다.,정답 : 그룹 함수를 사용하는 경우 NULL값은 연산에서 제외된다. 그래서 NVL 함수를 사용하는 것은 합계오류 예방과는 전혀 관계가 없다.
.Nested Loop 방식의 조인 절차로 옳은 것을 고르시오.,,, (1) → (2) → (4) → (3), (3) → (2) → (1) → (4), (4) → (2) → (3) → (1), (4) → (3) → (2) → (1),정답 :
.4개의 테이블로부터 필요한 칼럼을 조회하려고 한다. 최소 몇 개의 JOIN 조건이 필요한가?,,, 2개, 3개, 4개, 5개,정답 : 여러 테이블로부터 원하는 데이터를 조회하기 위해서는 전체 테이블 개수에서 최소 N-1개 만큼의 JOIN 조건이 필요하다.
.사원 테이블에 사원번호는 기본키로 설정되어 있다. SQL문으로 사원번호 1번을 검색하는데 사원 테이블에는 하나의 ROW만 저장되어 있다. 이때 유리한 스캔 방식은 무엇으로 판단되는가?,,, Unique Index Scan, Non-Unique Index Scan, Index Full Scan, Table Full Scan,"정답 : 하나의 데이터(행)를 읽기 위해서는 인덱스를 사용하지 않고 테이블을 FULL SCAN하는 것이 효율적이다. 즉, 검색되는 행이 1건이므로 굳이 인덱스를 읽지 않고 바로 테이블을 검색해야 한다."
.다음의 SQL문과 동일한 것을 고르시오.,,, Select Case When Name IS NOT NULL THEN NAME ELSE ‘0’ END AS USER_NAMEFrom Emp;, Select Case When Name IS NOT NULL THEN ‘0’ ELSE NAME END AS USER_NAMEFrom Emp;, Select Case When Name IS NULL THEN ‘없음’ ELSE NAME END AS USER_NAMEFrom Emp;, Select Case When Name IS NULL THEN ‘없음’ ELSE ‘0’ END AS USER_NAMEFrom Emp;,정답 : IS NULL 함수는 만약 NULL이면 “없음”을 출력하고 그렇지 않으면 NAME 칼럼의 값을 출력하는 것이다.
.옵티마이저에 대한 설명으로 적절하지 않은 것은?,,, 옵티마이저는 질의에 대해 실행 계획을 생성한다., 비용 기반 옵티마이저는 적절한 인덱스가 존재하면 반드시 인덱스를 사용한다., 규칙 기반 옵티마이저에서 제일 낮은 우선순위는 전체 테이블 스캔이다., 비용 기반 옵티마이저는 비용 계산을 위해 다양한 통계정보를 사용한다.,정답 : 비용 기반 옵티마이저는 비용을 기반으로 최적의 작업을 수행한다. 따라서 인덱스 스캔보다 전체 테이블 스캔이 비용이 낮다고 판단하면 적절한 인덱스가 존재하더라도 전체 테이블 스캔으로 SQL문을 수행할 수 있다.
