,category,tag,title,content_img,content_text,choices_1,choices_2,choices_3,choices_4,commentary,answer_number
0,2과목,정규화,다음 중 아래 '일자별매각물건' 엔터티에 대한 설명으로 가장 적절한 것은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j34-1.png,,2차 정규화가 필요한 엔터티로서 매각기일과 일자별매각물건으로 1:1 관계가 될 수 있다.,2차 정규화가 필요한 엔터티로서 매각기일과 일자별매각물건으로 1:M 관계가 될 수 있다.,1차 정규화가 필요한 엔터티로서 매각기일과 일자별매각물건으로 1:1 관계가 될 수 있다.,1차 정규화가 필요한 엔터티로서 매각기일과 일자별매각물건으로 1:M 관계가 될 수 있다.,,2
1,2과목,ER 모델링,다음의 ERD에 대한 설명으로 올바르지 않은 것은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j481-1.png,,의사가 없이 진료할 수 있다.,진료는 반드시 의사가 해야 한다.,한 개의 상급종합병원에는 여러 명의 의사가 근무한다.,상급종합병원에는 의사가 근무하지 않을 수가 있다.,상급종합병원에는 한 명의 혹은 여러 명의 의사가 근무하고 모델링으로는 의사가 없을 수도 있다. 진료는 의사만 할 수 있고 의사는 진료를 하지 않을 수도 있다.,1
2,2과목,집합 연산자,다음 중 SQL문을 가장 잘 설명하고 있는 것은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j345-1.png,"SELECT A.* FROM MytestA A, MytestB B WHERE A.MANAGER_ID = B.EMPLOYEE_ID AND B.SALARY >= ANY A.SALARY;",어떤 상사보다도 연봉이 낮은 부하 직원,어떤 상사보다도 연봉이 높은 부하 직원,어떤 부하 직원보다도 연봉이 낮은 상사,어떤 부하 직원보다도 연봉이 높은 상사,"A테이블의 매니저 아이디가 B테이블의 직원 아이디이므로 A가 부하직원, B가 상사라고 볼 수 있다. 그러므로 상단의 SQL문은 어떤 부하직원보다도 연봉이 높은 상사의 데이터를 조회하는 SQL문이라 할 수 있다.",4
3,2과목,그룹 함수,다음 주어진 SQL문의 빈칸에 그룹 함수를 쓰시오.,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j359-1.png,"SELECT COL1, COL2, SUM(COL3) FROM Mytest GROUP BY ( );","GROUPING SETS(COL1,(COL2,COL1))","GROUPING SETS(COL1,(COL2,COL3))","GROUPING SETS(COL1,(COL2,COL3))","GROUPING SETS(COL1,(COL1,COL2))",,4
4,2과목,트랜잭션 관리,아래 SQL 실행 결과로 가장 적절한 것은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j617-1.png,"INSERT INTO TAB1 VALUES(5, 'E', 3); COMMIT; UPDATE TAB1 SET COL2 = 3 WHERE NO = 2; SAVEPOINT SAVE1; INSERT INTO TAB1 VALUES(6, 'F', 5); DELETE TAB1 WHERE NO = 4; ROLLBACK TO SAVE1; UPDATE TAB1 SET COL2 = 2 WHERE NO = 1; ROLLBACK; COMMIT; SELECT SUM(COL2) FROM TAB1;",13,12,11,8,"첫 INSERT문장은 COMMIT했기 때문에 영구 저장된다. 그 이후 UPDATE, INSERT, DELETE를 차례대로 하지만 SAVE1 지점으로 롤백하므로 INSERT와 DELETE는 실행 취소된다. 첫 UPDATE문장과 마지막 UPDATE문장은 모두 롤백되어 결과적으로는 첫 INSERT문장만 실행된다. 따라서 남은 행의 SUM(COL2) 결과는 11이다.",3
5,2과목,JOIN,아래와 같은 두개의 테이블이 있을 때 아래의 SQL 결과 건수를 알맞게 나열한 것은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j301-1.png,SELECT * FROM MytestA A INNER JOIN MytestB B ON (A.KEY1 = B.KEY2); SELECT * FROM MytestA A LEFT OUTER JOIN MytestB B ON (A.KEY1 = B.KEY2); SELECT * FROM MytestA A RIGHT OUTER JOIN MytestB B ON (A.KEY1 = B.KEY2); SELECT * FROM MytestA A FULL OUTER JOIN MytestB B ON (A.KEY1 = B.KEY2); SELECT * FROM MytestA A CROSS JOIN MytestB B;,"2, 4, 3, 7, 12","2, 3, 4, 5, 12","2, 4, 5, 8, 12","2, 4, 3, 5, 12","-INNER JOIN은 B와 C가 같기 때문에 2건이다. -LEFT OUTER JOIN은 같은 것 2건과 D,E까지 포함해서 4건이 된다. -RIGHT OUTER JOIN은 같은 것 2건과 MytestB의 A까지 조회되어서 3건이 된다. -FULL OUTER JOIN은 같은 것 2건과 MytestA의 2건, MytestB의 1건 포함해서 5건이 된다. -CROSS JOIN은 MytestA의 4개의 행과 MytestB의 3개의 행을 곱해서 4*3=12건이다.",4
6,2과목,JOIN,다음 SQL문에서 ( )에 들어갈 알맞은 명령어는 무엇인가?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j244-1.png,,CROSS JOIN,RIGHT OUTER JOIN,LEFT OUTER JOIN,FULL OUTER JOIN,DEPT 테이블에 있는 40번이 조회되고 EMP테이블은 NULL로 조회되므로 RIGHT OUTER JOIN이다.,2
7,2과목,집합 연산자,다음 중 SQL의 결과가 다른 것은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j410-1.png,,SELECT * FROM Mytest WHERE COL1 <= 200 AND COL2 >= 200;,SELECT * FROM Mytest WHERE 1=1 AND 200 BETWEEN COL1 AND COL2,SELECT * FROM Mytset WHERE 1=1 AND ( CODE = 'A001' AND 200 BETWEEN COL1 AND COL2) OR ( CODE = 'B001' AND 200 BETWEEN COL1 AND COL2);,"SELECT * FROM Mytest WHERE 1=1 AND CODE IN ('A001','B001') AND COL1 BETWEEN 200 AND 400;","④번 보기는 200<=A<=400, 200<=B<=400의 의미이고 ①,②,③ 번 보기는 모두 COL1<=200 && COL2>=200의 의미이다.",4
8,2과목,단일행 함수,다음 쿼리의 실행 결과로 알맞은 것은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j587-1.png,"SELECT SUM(DECODE(SIGN(SAL-4000), 1, 1, 0)) FROM TAB1;",3,2,1,0,"SAL > 4000 이면 SAL - 4000 은 양수이므로 SIGN 을 취한 값이 1 이 리턴된다. DECODE 문을 해석하면 결국 SAL 이 4000 보다 큰 경우 1 을, 그렇지 않은 경우 0 을 리턴하므로 최종 출력값은 2 이다.",2
9,2과목,계층형 질의,아래 실행 결과를 출력하는 SQL로 가장 적절한 것은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j709-1.png,"SELECT 사원번호, 이름, LEVEL FROM 사원 WHERE 지역 = '경기' START WITH 상위관리자코드 IS NULL CONNECT BY 상위관리자코드 = PRIOR 사원번호;",,,,,WHERE절은 출력 대상을 결정하기 때문에 서울 지역인 홍길동은 출력하지 않는다.,4
10,2과목,서브쿼리,다음 과일 테이블에 대한 SQL문 내의 비교조건을 해석한 것으로 올바르지 않은 것은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j248-1.png,,"""19=ALL(SELECT 과일코드 FROM 과일)"" 거짓이다.","""15<ALL(SELECT 과일코드 FROM 과일)""은 참이다.","""19<ANY(SELECT 과일코드 FROM 과일)""은 거짓이다.","""21 NOT IN (SELECT 과일코드 FROM 과일)""은 참이다.","ALL은 전부 일치하는 것만 출력하는 것으로 AND라고 생각하면 되고 ANY는 OR로 생각하면 된다. 그러므로 보기②번은 15보다 큰 것이 모두 일치해야 하는데 과일 테이블에 있는 15, 키위는 값이 크지 않고 같다.",2
11,2과목,집계 함수,아래 수행 결과로 알맞은 것은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j641-1.png,SELECT COUNT(COL1) AS RESULT FROM TAB1 WHERE COL2 >= 30 GROUP BY COL1;,,,,,WHERE절의 비교 연산 결과 COL2의 30과 40만 해당되고 그에 해당하는 COL1은 모두 NULL이다. GROUP BY에 의해 COL1이 NULL인 한 그룹이 생성되지만 NULL은 COUNT하지 않기 때문에 0이 출력된다.,2
12,2과목,서브쿼리,다음 쿼리의 수행 결과로 적절한 것은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j702-1.png,DELETE FROM TAB1 WHERE CODE IN (SELECT CODE FROM TAB2 WHERE STATUS = 'OPEN'); SELECT SUM(FARE) FROM TAB1;,800,600,400,100,"TAB2의 STATUS가 OPEN인 CODE는 0002와 0004이므로 TAB1에서 이들을 삭제하면 AAA,BBB만 남는다. 이들의 FARE 총합은 600이다.",2
13,2과목,윈도우 함수,다음의 실행 결과를 조회하는 SQL문은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j381-1.png,,"SELECT NTITLE() OVER (PARTITION BY DEPTNO ORDER BY SAL DESC) RN, DEPTNO, SAL FROM LIMBEST.EMP;","SELECT DENSE_RANK() OVER (PARTITION BY DEPTNO ORDER BY SAL DESC) RN, DEPTNO, SAL FROM LIMBEST.EMP;","SELECT RANK() OVER (PARTITION BY DEPTNO ORDER BY SAL DESC) RN, DEPTNO, SAL FROM LIMBEST.EMP;","SELECT ROW_NUM() OVER (PARTITION BY DEPTNO ORDER BY SAL DESC) RN, DEPTNO, SAL FROM LIMBEST.EMP;",SAL 값이 동일하면 동일한 등수가 부여 되므로 RANK() 함수이다.,3
14,2과목,집합 연산자,다음 주어진 테이블에 대해서 아래의 SQL문을 수행하였을 때의 결과로 알맞은 것은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j379-1.png,SELECT Count(*) FROM( SELECT DISTINCT COL1 FROM mytesta UNION ALL SELECT COL1 FRM mytestb );,11,12,10,4,"1번째 테이블에서 10,20,25,30,50,60이 반환되고 2번째 테이블에서 10,20,30,40,50이 반환되기 때문에 총 행 수는 11이 된다.",1
15,2과목,그룹 함수,아래와 같이 설비와 에너지사용 테이블을 이용하여 결과를 나타내려할 때 SQL으로 가장 적절한 것을 2개 고르시오.,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j127-1.png,,"SELECT A.설비ID, B.에너지코드, SUM(B.사용량) AS 사용량합계 FROM 설비 A INNER JOIN 에너지사용량 B ON (A.설비ID = B.설비ID) GROUP BY GROUPING SETS((A.설비ID), (B 에너지코드), (A.설비ID, B.에너지코드)) ORDER BY A.설비ID, B.에너지코드;","SELECT A.설비ID, B.에너지코드, SUM(B.사용량) AS 사용량합계 FROM 설비 A INNER JOIN 에너지사용량 B ON (A.설비ID = B.설비ID) GROUP BY GROUPING SETS((A.설비ID), (B.에너지코드), (A.설비ID, B.에너지코드),0) ORDER BY A.설비ID, B.에너지코드;","SELECT A.설비ID, B.에너지코드, SUM(B.사용량) AS 사용량합계 FROM 설비 A INNER JOIN 에너지사용량 B ON (A.설비ID = B.설비ID) GROUP BY CUBE (A.설비ID, B.에너지코드) ORDER BY A.설비ID, B.에너지코드;","SELECT A.설비ID, B.에너지코드, SUM(B.사용량) AS 사용량합계 FROM 설비 A INNER JOIN 에너지사용량 B ON (A.설비ID = B.설비ID) GROUP BY CUBE ((A.설비ID), (B.에너지코드), (A.설비ID, B.에너지코드)) ORDER BY A.설비ID, B.에너지코드;","SQL의 결과를 보면 설비ID와 에너지코드의 모든 조합에 대하여 사용량합계를 추출하고 있다. CUBE 함수는 인수로 나열된 항목의 가능한 모든 조합에 대하여 GROUPING을 수행한다. 또한 GROUPING SETS은 사용자가 원하는 다양한 조합을 인수로 사용할 수 있다. 위 문제에서 ③번은 CUBE를 사용하였 으므로 CUBE절에 나열된 컬럼의 모든 조합 즉, ((설비ID), (에너지코드), (설비ID, 에너지코드))에 대해 SUB TOTAL을 만들게 된다. ②번은 GROUPING SETS를 활용하여 ③번의 모든 조합을 직접 기술 하였다.","2,3"
16,2과목,그룹 함수,다음 중 Mytest 테이블에서 주어진 결과를 반환하는 SQL문으로 올바른 것은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j323-1.png,,"SELECT DNAME, SUM(SAL) FROM Mytest GROUP BY ROLLUP(DNAME, YEAR, (DNAME, YEAR));","SELECT DNAME, SUM(SAL) FROM Mytest GROUP BY ROLLUP((DNAME, YEAR));","SELECT DNAME, SUM(SAL) FROM Mytest GROUP BY ROLLUP(DNAME, (DNAME, YEAR));","SELECT DNAME, SUM(SAL) FROM Mytest GROUP BY ROLLUP((DNAME, DNAME), NULL);",,3
17,2과목,집계 함수,다음 SQL 실행 결과로 가장 적절한 것은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j642-1.png,"SELECT COL1 AS C1, SUM(COL2) AS C2 FROM TAB1 GROUP BY COL1 HAVING SUM(COL2) >= 400;",,,,,"GROUP BY 후 SUM(COL2) 연산 결과 (10, 300), (20, 400), (30, 500), (NULL, 600) 그룹이 출력된다. 이들 중 HAVING 조건에 만족하는 그룹은 (20, 400), (30, 500), (NULL, 600) 이다.",3
18,2과목,DML,"아래 7개의 SQL 문장이 성공적으로 수행되었다고 할 때, A, B, C 세 개의 SQL 문장을 차례대로 실행하면 A와 C의 SELECT 문장 수행결과는 각각 무엇인가?",https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j51-1.png,,"3,3","3,2","3,1","3,NULL",,3
19,2과목,DML,"다음 주어진 데이터에 대해서 LIKE문을 사용하여 결괏값에 ""_""가 들어간 문자열을 찾는 SQL문으로 올바른 것은?",https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j547-1.png,,SELECT * FROM test31 WHERE username LIKE '%_%' ESCAPE '_',SELECT * FROM test31 WHERE username LIKE '%@_%' ESCAPE '@',SELECT * FROM test31 WHERE username LIKE '%#_%',SELECT * FROM test31 WHERE username LIKE '%H',SELECT문에서 LIKE 연산으로 '%'나 '_'가 들어간 문자를 검색하기 위해서는 ESCAPE 명령어를 사용할 수 있다. 즉 '_'나 '%' 앞에 ESCAPE로 특수문자를 지정하면 검색할 수 있다.,2
20,2과목,정규화,다음 중 아래 '일재고' 엔터티에 대한 설명으로 가장 적절한 것은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j36-1.png,,2차 정규화가 필요한 엔터티로서 매각기일과 일자별매각물건으로 1:1 관계가 될 수 있다.,2차 정규화가 필요한 엔터티로서 매각기일과 일자별매각물건으로 1:M 관계가 될 수 있다.,1차 정규화가 필요한 엔터티로서 매각기일과 일자별매각물건으로 1:1 관계가 될 수 있다.,1차 정규화가 필요한 엔터티로서 매각기일과 일자별매각물건으로 1:M 관계가 될 수 있다.,,4
21,2과목,ER 모델링,다음 주어진 ERD 관계에 대한 설명으로 옳은 것을 고르시오.,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j271-1.png,,그룹 계정에 여러 명의 사용자가 반드시 속해야 한다.,그룹 계정에 사용자 계정이 없을 수 있다.,한 명의 사용자는 여러 개의 그룹에 속해야 한다.,그룹마스터는 여러 개의 동일한 그룹ID를 가질 수 있다.,그룹 계정과 사용자 계정 간의 관계는 Optional 관계이므로 그룹 계정에 사용자가 없을 수 있다.,2
22,2과목,윈도우 함수,다음 주어진 테이블이 아래의 결과와 같이 반환되도록 SQL문의 빈칸에 들어갈 것으로 알맞은 것을 고르시오.,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j450-1.png,"SELECT ( ) OVER(ORDER BY SAL DESC) AS RANK, NAME, DEPTNAME, POSITION, SAL FROM TEST44;",NTILE(),ROW_NUMBER(),DENSE_RANK(),RANK(),RANK() 함수는 동일한 점수면 같은 등수를 부여한다.,4
23,2과목,집계 함수,다음 주어진 테이블에 대해서 아래와 같은 결과값이 반환되도록 아래 SQL문의 빈칸에 들어갈 것을 고르시오.,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j204-1.png,,"min(COL1), max(COL2), max(COL1)","max(COL1), min(COL2), sum(COL1)","max(COL1), min(COL2), sum(COL2)","max(COL2), min(COL2), sum(COL1)","A 속성은 COL1의 최댓값, B속성은 COL2의 최솟값, C속성은 COL1 속성의 합이다.",2
24,2과목,그룹 함수,아래 SQL의 결과로 가장 알맞은 것은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j656-1.png,"SELECT PRODUCT_NO, GOGAK_NO, SUM(QTY) AS TOTAL_QTY FROM JUMUN GROUP BY GROUPING SETS(PRODUCT_NO, GOGAK_NO, ());",,,,,"GROUPING SETS(PRODUCT_NO, GOGAK_NO, ())에서 PRODUCT_NO별 SUM(QTY) 결과, GOGAK_NO별 SUM(QTY)연산 결과가 출력된 것과 ()으로 인해 SUM(QTY)의 전체 총 합이 출력된 것을 찾는 문제이다.",4
25,2과목,DML,다음의 SQL문이 반환하는 결괏값은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j297-1.png,"select * from Mytest order by COL1 desc, COL2 desc, COL3 desc;",,,,,"해당 SQL문은 주어진 테이블인 Mytest에서 CO1, COL2, COL3 속성 순서대로 내림차순 정렬을 수행한다. (1,null,1)은 COL1 desc에 의해 먼저 정렬되므로 마지막 행에 위치한다. COL1을 정렬해서 값이 동일한 행은 COL2 desc를 수행하는데, COL2 열도 동일한 행이 있으므로 그 행들에 대해 COL3 desc를 수행한다.",2
26,2과목,집합 연산자,다음 주어진 테이블에 대해서 아래와 같은 SQL문을 수행하였을 때 반환되는 ROW 값의 수는 무엇인가?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j277-1.png,select * from A1 union select * from B1 minus select * from C1;,4,3,2,1,"select * from A union select * from B를 실행하면 1,2,3,4,5가 반환된다. 해당 결과에 MINUS 조인을 하면 4,5가 빠지기 때문에 최종적으로 1,2,3 이 된다.",2
27,2과목,윈도우 함수,"다음 SQL문을 실행하여 나오는 결과의 빈칸 (ㄱ),(ㄴ)을 작성하시오.",https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j354-1.png,"SELECT NTILE2, COUNT(*) AS CNT FROM( SELECT COL1, COL2, COL3, NTILE(3) OVER(ORDER BY COL3) AS NTILE2 FROM Mytest ) GROUP BY NTILE2;","ㄱ : 3, ㄴ : 2","ㄱ : 1, ㄴ : 3","ㄱ : 2, ㄴ : 3","ㄱ : 3, ㄴ : 1","주어진 테이블에서 COL3 속성의 값 7개를 2,2,2로 균등하게 3등분하고 남은 값을 앞에서부터 순차적으로 할당하므로 3,2,2개씩 파티션이 분할된다. 그러면 NTILE2에서는 각각 분할된 파티션별 번호인 1,2,3이 할당되고 CNT에서는 각각에 분할된 파티션별 행의 수가 카운트 되어 3,2,2가 반환된다.",2
28,2과목,그룹 함수,아래의 결괏값을 보고 SQL문의 빈칸에 들어 갈 수 있는 내용을 고르시오.,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j205-1.png,"SELECT DEPTNO, JOB, SUM(SAL) FROM SQLD_73 GROUP BY ( );","CUBE(DEPTNO, JOB)","DEPTNO, JOB","GROUPING SETS(DEPTNO, JOB)","ROLLUP(DEPTNO, JOB)","주어진 결괏값을 보면 1.DEPTNO별 합계, 2.DEPTNO, JOB별 합계, 3.전체 합계가 조회되므로 빈칸에는 그룹 함수 중 ROLLUP이 와야 한다.",4
29,2과목,집계 함수,아래와 같은 테이블 데이터가 있다. SQL에 대한 결과로 가장 알맞은 것은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j649-1.png,SELECT SUM(T1.COL2) FROM TAB1 T1 WHERE T1.COL2 = (SELECT MAX(COL2) FROM TAB1 T2 WHERE T1.COL1 = T2.COL1);,100,90,,에러,"서브쿼리 조건절은 TAB1의 각 행의 COL1을 확인하여 같은 값을 갖는 행들 중 COL2의 최대값과 일치하는 행을 찾아 COL2의 총 합을 묻는 질의절이다. 즉, COL1별 COL2 값이 최대인 행들의 COL2의 총 합을 리턴하는 문장이므로 A그룹에서는 30,30, B그룹에서는 40이 리턴되어 총 100이 출력된다.",1
